"Pclass","Sex","Age","SibSp","Parch","Embarked","Count.ticket","Unit.price"
3,"female",15,0,0,"C",1,7.225
3,"male",20,0,0,"S",2,4.9229
3,"male",19,0,0,"S",1,7.8958
3,"male",26,0,0,"S",1,7.8958
1,"female",56,0,1,"C",3,27.7194333333333
2,"female",25,0,1,"S",2,13
3,"male",33,0,0,"S",1,7.8958
3,"female",22,0,0,"S",1,10.5167
2,"male",28,0,0,"S",1,10.5
3,"male",25,0,0,"S",1,7.05
3,"female",39,0,5,"Q",6,4.85416666666667
2,"male",27,0,0,"S",1,13
1,"female",19,0,0,"S",1,30
3,"female",30,1,2,"S",4,5.8625
1,"male",26,0,0,"C",1,30
3,"male",32,0,0,"Q",1,7.75
3,"male",34.5,0,0,"Q",1,7.8292
3,"female",47,1,0,"S",1,7
2,"male",62,0,0,"Q",1,9.6875
3,"male",27,0,0,"S",1,8.6625
3,"female",22,1,1,"S",2,6.14375
3,"male",14,0,0,"S",1,9.225
3,"female",30,0,0,"Q",1,7.6292
2,"male",26,1,1,"S",3,9.66666666666667
3,"female",18,0,0,"C",1,7.2292
3,"male",21,2,0,"S",3,8.05
3,"male",26,0,0,"S",1,7.8958
1,"male",46,0,0,"S",1,26
1,"female",23,1,0,"S",2,41.13335
2,"male",63,1,0,"S",2,13
1,"female",47,1,0,"S",2,30.5875
2,"female",24,1,0,"C",2,13.8604
2,"male",35,0,0,"Q",1,12.35
3,"male",21,0,0,"C",1,7.225
3,"female",27,1,0,"S",1,7.925
3,"female",45,0,0,"C",1,7.225
1,"male",55,1,0,"C",2,29.7
3,"male",9,0,1,"S",1,3.1708
1,"female",33,0,0,"S",1,31.6833
1,"male",21,0,1,"C",2,30.6896
1,"female",48,1,3,"C",7,37.4821428571429
3,"male",50,1,0,"S",2,7.25
1,"female",22,0,1,"C",2,30.9896
3,"male",22.5,0,0,"C",1,7.225
1,"male",41,0,0,"S",1,30.5
3,"male",24,2,0,"C",3,7.2264
2,"male",50,1,0,"S",2,13
2,"male",24,2,0,"S",3,10.5
3,"female",33,1,2,"S",4,5.14375
3,"female",30,1,2,"S",4,5.8625
1,"male",30,1,0,"C",2,28.875
3,"male",18.5,0,0,"C",1,7.2292
3,"female",18,0,0,"S",1,8.05
3,"female",21,0,0,"S",1,8.6625
3,"male",25,0,0,"S",1,9.5
3,"male",21,0,0,"S",8,7.061975
3,"male",39,0,1,"C",2,6.70835
1,"male",44,0,0,"S",1,26.55
3,"male",41,0,0,"S",1,7.85
2,"female",30,0,0,"S",1,13
1,"female",45,1,0,"S",2,26.2771
3,"male",25,0,0,"S",1,7.925
1,"male",45,0,0,"C",1,29.7
3,"male",33,0,0,"Q",1,7.75
1,"female",60,0,0,"C",2,38.14585
3,"female",36,0,2,"S",3,5.3
1,"male",24,1,0,"S",2,30
2,"male",27,0,0,"C",1,15.0333
2,"female",20,2,1,"S",2,11.5
1,"female",28,3,2,"S",6,43.8333333333333
2,"male",40,0,0,"C",1,15.5792
3,"male",10,4,1,"Q",6,4.85416666666667
3,"male",35,0,0,"S",1,7.8958
3,"male",25,0,0,"S",1,7.65
3,"male",34.5,1,0,"S",2,8.05
1,"female",36,0,0,"C",7,37.4821428571429
3,"male",17,0,0,"S",1,7.8958
2,"male",32,0,0,"S",1,13.5
3,"male",18,0,0,"S",1,7.75
3,"female",22,0,0,"Q",1,7.725
1,"male",13,2,2,"C",7,37.4821428571429
2,"female",19,0,0,"S",2,10.5
3,"female",18,0,0,"Q",1,7.8792
1,"male",47,0,0,"S",2,21.2
1,"male",31,0,0,"C",1,28.5375
1,"female",60,1,4,"S",6,43.8333333333333
3,"female",24,0,0,"Q",1,7.75
3,"male",21,0,0,"S",1,7.8958
3,"female",29,0,0,"S",1,7.925
1,"male",28.5,0,0,"C",1,27.7208
1,"female",35,0,0,"C",5,42.3
1,"male",32.5,0,0,"C",5,42.3
3,"male",26,0,0,"S",1,8.05
1,"female",55,2,0,"S",1,25.7
2,"male",30,0,0,"S",1,13
3,"female",24,0,0,"Q",1,7.75
3,"male",6,1,1,"C",3,5.08193333333333
1,"male",67,1,0,"S",4,55.4448
1,"male",49,0,0,"S",1,26
3,"male",26,0,0,"S",1,7.8958
2,"male",30,0,0,"Q",1,10.7083
3,"male",26,1,0,"C",2,7.2271
3,"female",27,0,0,"Q",1,7.8792
3,"female",18,0,0,"S",1,8.05
3,"female",18,0,0,"Q",1,7.75
2,"male",2,1,1,"S",3,7.66666666666667
3,"female",22,1,0,"S",2,6.95
3,"male",65,0,0,"S",1,7.775
1,"female",27,1,2,"S",2,26
3,"male",26,0,0,"S",1,8.05
1,"male",25,0,0,"C",1,26
3,"male",25,0,0,"S",1,7.7958
1,"female",76,1,0,"S",3,26.2833333333333
3,"male",29,0,0,"S",1,7.925
3,"female",20,0,0,"S",1,7.8542
3,"male",33,0,0,"S",1,8.05
1,"female",43,1,0,"C",2,27.72085
2,"male",27,1,0,"S",2,13
3,"male",33,0,0,"Q",1,7.75
3,"male",26,0,0,"S",1,7.775
3,"female",16,1,1,"C",2,4.25835
3,"male",28,0,0,"S",3,7.50833333333333
3,"male",21,0,0,"Q",1,7.8208
3,"male",33,0,0,"Q",1,7.75
3,"male",26,0,0,"S",1,8.7125
2,"male",18.5,0,0,"S",1,13
2,"male",41,0,0,"C",1,15.0458
3,"female",18,0,0,"Q",1,7.7792
1,"female",36,0,0,"C",1,31.6792
3,"female",18.5,0,0,"Q",1,7.2833
1,"female",63,1,0,"S",4,55.4448
3,"male",18,1,0,"C",2,7.2271
3,"male",34.5,0,0,"C",1,6.4375
3,"female",1,1,1,"S",3,5.56666666666667
1,"male",36,0,0,"C",2,37.62085
2,"female",29,1,0,"S",2,13
2,"female",12,0,0,"S",2,7.875
3,"male",26,1,0,"Q",1,7.75
1,"female",35,1,0,"C",2,28.875
3,"male",28,0,0,"S",1,7.25
3,"male",33,0,0,"Q",1,7.75
3,"female",17,0,1,"S",2,8.05
3,"male",22,0,0,"S",1,7.7958
3,"female",14.5,2,0,"Q",3,7.75
2,"male",42,0,0,"S",1,13
3,"male",24,0,0,"S",1,8.05
3,"male",32,0,0,"S",1,8.05
1,"male",53,0,0,"C",1,28.5
3,"female",32,0,4,"S",5,5.09334
3,"male",21,1,0,"C",1,6.4375
3,"male",43,0,0,"S",1,7.8958
3,"male",24,0,0,"S",1,7.8542
3,"male",26.5,0,0,"C",1,7.225
2,"male",26,0,0,"S",1,13
3,"female",23,0,0,"S",1,8.05
3,"male",40,1,6,"S",8,5.8625
3,"female",10,5,2,"S",8,5.8625
1,"female",33,0,0,"S",6,25.2583333333333
1,"male",61,1,3,"C",7,37.4821428571429
2,"male",28,0,0,"S",2,13
1,"male",42,0,0,"S",1,26.55
3,"male",31,3,0,"S",2,9
1,"male",44,0,0,"S",2,25.93125
3,"male",22,0,0,"S",1,8.05
1,"male",44,0,0,"S",1,26.55
2,"male",30,1,1,"S",2,13
1,"female",23,0,1,"C",3,27.7194333333333
3,"male",33,0,0,"C",1,7.8958
3,"male",60.5,0,0,"S",1,9.5875
3,"female",36,0,2,"S",2,6.09165
3,"male",13,4,2,"S",7,4.48392857142857
3,"male",24,0,0,"S",1,7.55
1,"female",29,0,0,"S",4,55.4448
3,"female",23,0,0,"S",1,7.8542
1,"male",42,0,0,"S",1,26.55
3,"female",26,0,2,"S",3,4.59166666666667
3,"female",18,0,0,"Q",1,7.7333
3,"male",7,1,1,"C",3,5.08193333333333
2,"female",26,0,0,"S",1,13.5
3,"male",21,0,0,"S",1,7
2,"male",41,0,0,"S",1,13
3,"female",26,1,1,"S",3,7.34166666666667
1,"male",48,0,0,"C",1,50.4958
3,"male",18,2,2,"S",5,6.875
1,"female",44,0,0,"C",1,27.7208
3,"female",22,0,0,"S",1,8.9625
3,"male",25,0,0,"S",1,7.55
3,"male",27,0,0,"C",1,7.225
3,"male",23,1,0,"S",2,6.95
3,"male",23.5,0,0,"C",1,7.2292
3,"male",40,1,5,"S",7,4.48392857142857
2,"female",15,0,2,"S",3,13
2,"female",20,0,0,"S",4,9.1875
1,"male",54,1,0,"C",2,27.72085
2,"female",36,0,3,"S",4,9.75
1,"female",64,0,2,"C",3,27.7194333333333
2,"male",30,0,0,"S",1,13
1,"male",37,1,1,"C",3,27.7194333333333
1,"female",18,1,0,"S",2,26.55
3,"male",33,0,0,"Q",1,7.75
1,"female",27,1,1,"C",3,82.5069333333333
2,"male",40,0,0,"S",1,16
2,"female",21,0,1,"S",2,10.5
3,"male",17,2,0,"S",1,8.05
3,"female",16,8,2,"S",11,6.32272727272727
2,"male",40,0,0,"S",1,13
2,"male",34,1,0,"S",2,13
1,"male",44,0,0,"S",1,26
3,"male",11.5,1,1,"S",3,4.83333333333333
2,"male",61,0,0,"Q",1,12.35
2,"male",8,0,2,"S",3,10.8333333333333
3,"male",33,0,0,"S",1,7.8542
1,"male",6,0,2,"C",5,26.9
3,"female",18,0,0,"S",1,7.775
2,"male",23,0,0,"S",1,10.5
3,"female",18,0,0,"S",1,8.1125
3,"female",17,0,0,"Q",2,7.75
3,"male",0.33,0,2,"S",3,4.8
1,"male",47,1,0,"C",5,45.505
2,"female",8,1,1,"S",3,8.66666666666667
2,"male",25,0,0,"S",1,10.5
1,"male",47,0,0,"C",1,25.7417
3,"female",35,0,0,"Q",1,7.75
2,"male",24,0,0,"S",1,10.5
1,"female",33,0,0,"C",1,27.7208
3,"male",25,0,0,"S",1,7.8958
3,"male",32,0,0,"S",3,7.50833333333333
3,"male",21,0,0,"S",1,7.05
2,"male",17,0,0,"S",7,10.5
2,"female",60,1,0,"S",2,13
3,"female",38,4,2,"S",1,7.775
1,"male",42,0,0,"S",1,42.5
3,"female",18,0,0,"Q",1,7.8792
1,"male",57,1,1,"S",4,41.216675
1,"female",50,1,1,"C",5,42.3
3,"male",26,0,0,"S",1,8.05
2,"female",30,1,0,"C",1,13.8583
3,"male",21,0,0,"S",1,8.05
2,"female",22,0,0,"S",1,10.5
3,"male",21,0,0,"S",1,7.7958
1,"female",53,0,0,"C",1,27.4458
3,"female",29,0,2,"C",3,5.08193333333333
3,"male",23,0,0,"S",1,7.7958
3,"female",18,0,0,"Q",1,7.75
3,"male",40.5,0,0,"S",2,7.55
2,"male",36,0,0,"S",1,13
2,"male",14,0,0,"S",5,13
1,"female",21,0,0,"S",1,26.55
3,"male",21,1,0,"S",1,6.4958
3,"male",33,0,0,"Q",1,7.8792
1,"male",39,1,0,"C",2,35.64165
3,"male",20,0,0,"S",1,7.8542
1,"male",64,1,0,"C",2,37.625
3,"male",20,0,0,"C",1,7.225
2,"female",18,1,1,"S",1,13
1,"female",48,1,0,"C",3,35.475
1,"female",55,0,0,"C",1,27.7208
2,"female",45,0,2,"S",2,15
1,"male",45,1,1,"C",5,26.9
3,"male",26,0,0,"S",1,7.8875
3,"male",24,1,2,"S",4,5.8625
1,"male",41,1,0,"S",2,25.93125
2,"female",22,0,0,"S",2,10.5
2,"male",42,1,1,"S",3,10.8333333333333
2,"female",29,1,0,"S",2,13
3,"female",15,1,0,"C",2,7.2271
2,"female",0.92,1,2,"S",4,6.9375
3,"male",20,0,0,"S",1,7.925
1,"male",27,1,0,"C",2,68.3896
3,"male",24,0,0,"S",1,9.325
3,"male",32.5,0,0,"S",1,9.5
3,"male",25,0,0,"S",1,7.55
3,"male",33,0,0,"Q",1,7.75
3,"male",28,0,0,"S",1,8.05
2,"female",19,0,0,"S",1,13
3,"male",21,0,0,"S",1,7.775
3,"male",36.5,1,0,"S",2,8.7
3,"male",21,0,0,"S",1,7.8542
2,"female",29,0,2,"S",3,7.66666666666667
3,"female",1,1,1,"S",2,6.09165
2,"male",30,0,0,"C",1,12.7375
3,"male",26,0,0,"S",1,7.8958
1,"male",57,0,0,"S",1,0
3,"male",25,0,0,"S",1,7.55
3,"female",18,0,0,"S",1,8.05
3,"male",17,0,0,"S",1,8.6625
1,"male",46,0,0,"C",2,37.62085
3,"male",33,0,0,"Q",1,7.75
1,"female",26,1,0,"C",2,68.3896
3,"female",14.5,1,0,"Q",2,7.75
3,"male",30,0,0,"C",1,7.225
2,"female",20,1,0,"S",2,13
2,"male",28,0,0,"S",1,10.5
2,"male",40,1,0,"S",2,13
2,"male",30,1,0,"S",2,10.5
2,"male",22,0,0,"S",1,10.5
3,"female",23,0,0,"S",1,8.6625
3,"male",0.75,1,1,"S",3,4.59166666666667
3,"female",18,0,0,"Q",1,7.75
3,"female",9,1,1,"C",3,5.08193333333333
3,"female",2,1,1,"S",3,6.7375
3,"male",36,0,0,"S",1,7.25
3,"male",24,0,0,"S",1,7.25
1,"male",24,1,0,"S",2,41.13335
3,"male",23.5,0,0,"C",1,7.2292
3,"male",26,0,0,"S",1,8.05
1,"male",44,0,0,"S",1,39.6
3,"female",30,0,0,"Q",1,6.95
3,"male",23.5,0,0,"C",1,7.2292
1,"male",53,1,1,"S",3,27.2861
3,"male",36,0,0,"S",1,9.5
3,"male",26,0,0,"S",1,7.8958
2,"female",1,1,2,"C",4,10.3948
3,"male",24,2,0,"C",3,7.2264
1,"male",30,0,0,"S",1,45.5
3,"male",29,0,0,"S",1,7.8542
3,"male",32,0,0,"S",1,7.775
2,"male",27,0,0,"C",1,15.0458
2,"male",43,0,1,"S",2,10.5
3,"male",24,0,0,"S",1,8.6625
3,"female",18,0,0,"Q",1,7.75
1,"female",64,1,1,"S",1,26.55
1,"male",30,1,2,"S",6,25.2583333333333
3,"male",0.83,0,1,"S",2,4.675
1,"male",55,1,1,"S",4,23.375
3,"female",45,1,0,"S",2,7.05415
3,"male",18,0,0,"S",1,8.6625
3,"male",22,0,0,"C",1,7.225
3,"male",25,0,0,"S",1,7.575
3,"female",37,0,0,"Q",1,7.75
1,"female",55,0,0,"C",4,33.908325
3,"female",17,0,0,"Q",1,7.7333
1,"male",57,1,0,"C",3,48.8402666666667
2,"male",19,0,0,"S",1,10.5
3,"male",27,0,0,"S",1,7.8542
2,"male",22,2,0,"S",3,10.5
3,"male",26,0,0,"S",1,7.775
3,"male",25,0,0,"C",1,7.2292
2,"male",26,0,0,"S",1,13
1,"male",33,0,0,"S",1,26.55
1,"female",39,0,0,"S",4,52.834375
3,"male",23,0,0,"S",1,7.05
2,"female",12,2,1,"S",4,9.75
1,"male",46,0,0,"C",2,39.6
2,"male",29,1,0,"S",2,13
2,"male",21,0,0,"S",1,13
2,"female",48,0,2,"S",4,9.1875
1,"male",39,0,0,"C",1,29.7
3,"male",30,0,0,"C",1,7.225
3,"female",19,1,1,"C",3,5.24723333333333
3,"male",27,0,0,"S",1,7.8958
1,"male",30,0,0,"S",1,26
2,"male",32,0,0,"S",1,13
3,"male",39,0,2,"C",1,7.2292
2,"male",25,0,0,"S",3,10.5
3,"male",23.5,0,0,"C",1,7.2292
2,"male",18,0,0,"S",1,10.5
3,"male",32,0,0,"S",1,7.5792
3,"male",4,1,9,"S",11,6.32272727272727
1,"female",58,0,1,"C",4,128.0823
3,"male",24,1,1,"S",3,4.83333333333333
3,"female",16,0,0,"S",1,7.65
2,"male",26,0,0,"S",1,13
3,"female",38,0,0,"C",1,7.2292
2,"male",24,0,0,"S",1,13.5
2,"female",31,0,0,"S",2,10.5
1,"female",45,0,1,"C",2,31.67915
2,"male",25,0,0,"S",1,10.5
2,"male",18,0,0,"S",7,10.5
2,"male",49,1,2,"S",5,13
3,"female",0.17,1,2,"S",4,5.14375
1,"male",50,0,0,"S",1,26
1,"female",59,2,0,"S",2,25.7396
3,"male",26,0,0,"S",1,7.8792
3,"male",33,0,0,"Q",1,7.75
3,"female",30,1,0,"S",2,7.775
3,"male",14.5,8,2,"S",11,6.32272727272727
2,"female",24,1,1,"C",3,12.3347333333333
2,"female",31,0,0,"S",2,10.5
3,"male",27,0,0,"S",1,8.6625
1,"female",25,1,0,"C",2,27.72085
3,"female",39,1,9,"S",11,6.32272727272727
3,"male",26,1,0,"C",2,7.22915
3,"female",22,0,0,"S",7,5.66964285714286
1,"female",45,0,1,"C",2,29.7
2,"male",29,0,0,"C",1,13.8583
2,"male",21,1,0,"S",1,11.5
1,"female",31,0,0,"C",5,26.9
1,"male",49,0,0,"S",2,0
2,"male",44,0,0,"S",1,13
1,"female",54,1,1,"S",3,27.2861
1,"female",45,0,0,"C",7,37.4821428571429
3,"female",22,2,0,"S",1,8.6625
2,"male",21,0,0,"S",1,11.5
1,"male",55,0,0,"S",1,50
3,"male",5,4,2,"S",7,4.48392857142857
3,"male",33,0,0,"Q",1,7.75
3,"male",26,0,0,"Q",1,7.8792
3,"female",30,0,0,"S",2,7.25
3,"female",19,1,0,"S",2,8.05
2,"male",57,0,0,"S",1,12.875
2,"female",24,1,2,"S",5,13
3,"male",24,0,0,"S",1,7.775
2,"male",57,0,0,"S",1,13
3,"male",21,0,0,"Q",1,7.75
3,"male",6,3,1,"S",5,4.215
1,"male",23,0,0,"S",4,23.375
1,"female",51,0,1,"S",2,19.7
3,"male",13,0,2,"S",3,6.75
2,"male",47,0,0,"S",1,10.5
3,"male",29,3,1,"S",3,7.34166666666667
1,"female",18,1,0,"S",2,30
3,"male",24,0,0,"Q",1,7.25
1,"female",48,1,1,"C",2,39.6
3,"male",22,0,0,"S",1,7.775
3,"male",31,0,0,"Q",1,7.7333
1,"female",30,0,0,"S",4,41.216675
2,"male",38,1,0,"S",2,10.5
1,"female",22,0,1,"C",2,29.7
1,"male",17,0,0,"S",2,23.55
1,"male",43,1,0,"C",1,27.7208
2,"male",20,0,0,"C",1,13.8625
2,"male",23,1,0,"S",1,10.5
1,"male",50,1,1,"C",5,42.3
3,"female",18,0,0,"Q",1,7.7208
3,"female",3,1,1,"S",3,4.59166666666667
3,"female",18,0,0,"Q",1,7.75
1,"female",37,1,0,"Q",3,30
3,"female",28,0,0,"S",1,7.775
3,"male",26,0,0,"S",1,8.05
1,"female",39,0,0,"C",3,36.3
3,"male",38.5,0,0,"S",1,7.25
3,"male",26,0,0,"S",1,8.05
3,"male",33,1,1,"C",3,7.45276666666667
